Cell Line,CCLE Code,Tissue of Origin,Protein 10-Plex ID,Protein TMT Label,Notes
CAL-33,CAL33_UPPER_AERODIGESTIVE_TRACT,Upper Aerodigestive Tract,0,126,Bridge line
Hs578t,HS578T_BREAST,Breast,0,127c,Bridge line
SW837,SW837_LARGE_INTESTINE,Large Intestine,0,127n,Bridge line
WM-266-4,WM2664_SKIN,Skin,0,128c,Bridge line
CAL-51,CAL51_BREAST,Breast,0,128n,Bridge line
CA46,CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoma,0,129c,Bridge line
HEL,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Acute Myeloid Leukemia,0,129n,Bridge line
NCI-H1581,NCIH1581_LUNG,Lung,0,130c,Bridge line
NCI-H82,NCIH82_LUNG,Lung,0,130n,Bridge line
SW-480,SW480_LARGE_INTESTINE,Large Intestine,0,131,Bridge line
MDA-MB-468,MDAMB468_BREAST,Breast,1,126
SH-4,SH4_SKIN,Skin,1,127n
AU565,AU565_BREAST,Breast,1,127c
KMRC-1,KMRC1_KIDNEY,Kidney,1,128n
CAL-51,CAL51_BREAST,Breast,1,128c
RPMI-7951,RPMI7951_SKIN,Skin,1,129n
RERF-LC-MS,RERFLCMS_LUNG,Lung,1,129c
IGR-37,IGR37_SKIN,Skin,1,130n
VMRC-RCW,VMRCRCW_KIDNEY,Kidney,1,130c
Hep 3B2.1-7,HEP3B217_LIVER,Liver,2,126
Hep G2,HEPG2_LIVER,Liver,2,127n
SK-HEP-1,SKHEP1_LIVER,Liver,2,127c
WM-266-4,WM2664_SKIN,Skin,2,128n
KMRC-20,KMRC20_KIDNEY,Kidney,2,128c
Hs 294T,HS294T_SKIN,Skin,2,129n
Caov-3,CAOV3_OVARY,Ovary,2,129c
CAL-120,CAL120_BREAST,Breast,2,130n
JMSU-1,JMSU1_URINARY_TRACT,Urinary Tract,2,130c
PA-TU-8988T,PATU8988T_PANCREAS,Pancreas,3,126
JIMT-1,JIMT1_BREAST,Breast,3,127n
COV362,COV362_OVARY,Ovary,3,127c
KPL-1,KPL1_BREAST,Breast,3,128n
A-375,A375_SKIN,Skin,3,128c
A2058,A2058_SKIN,Skin,3,129n
SW620,SW620_LARGE_INTESTINE,Large Intestine,3,129c
MDST8,MDST8_LARGE_INTESTINE,Large Intestine,3,130n
huH-1,HUH1_LIVER,Liver,3,130c
HCT 116,HCT116_LARGE_INTESTINE,Large Intestine,4,126
HLF,HLF_LIVER,Liver,4,127n
HT-29,HT29_LARGE_INTESTINE,Large Intestine,4,127c
ABC-1,ABC1_LUNG,Lung,4,128n
CAMA-1,CAMA1_BREAST,Breast,4,128c
RKO,RKO_LARGE_INTESTINE,Large Intestine,4,129n
HT115,HT115_LARGE_INTESTINE,Large Intestine,4,129c
JHH-5,JHH5_LIVER,Liver,4,130n
SK-MEL-3,SKMEL3_SKIN,Skin,4,130c
PC-14,PC14_LUNG,Lung,5,126
EBC-1,EBC1_LUNG,Lung,5,127n
