File ID,File Name,Run Metadata ID,Protocol,Study Name,PDC Study ID,PDC Study Version,Study ID,Project Name,Data Category,File Type,Access,File Size (in bytes),Md5sum,Downloadable,File Download Link
"00046804-1b57-11e9-9ac1-005056921935","06CPTAC_CCRCC_W_JHU_20171120_LUMOS_f09.mzid.gz","06CPTAC_CCRCC_Proteome_JHU_20171120","P-S044-1","CPTAC CCRCC Discovery Study - Proteome","PDC000127","1","dbe94609-1fb3-11e9-b7f8-0a80fada099c","CPTAC3 Discovery and Confirmatory","Peptide Spectral Matches","Open Standard","Open","7290779","e8d4417af70878bb1cf45f8a0fca9433","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/127/PSM/mzid/06CPTAC_CCRCC_W_JHU_20171120_LUMOS_f09.mzid.gz?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9kM2l3dGt1dnd6NGp0Zi5jbG91ZGZyb250Lm5ldC9zdHVkaWVzLzEyNy9QU00vbXppZC8wNkNQVEFDX0NDUkNDX1dfSkhVXzIwMTcxMTIwX0xVTU9TX2YwOS5temlkLmd6IiwiQ29uZGl0aW9uIjp7IkRhdGVMZXNzVGhhbiI6eyJBV1M6RXBvY2hUaW1lIjoxNzc0MTE4NzMwfX19XX0_&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Wi~1HsgjtPDfnLi2asqbA1PNWJajSJDnbohua~nrSrzXJXp1VVG~3G57cDl-rK2pprgf1vuobmwaWx1Q~GdtJDeAS16LeJfe2LtviR7oawcZnWqqjd9yKbvJtn9SLO-pavUBcbyZdZyr4XMB~RkcQToS7utOwJ-G96yH4RDwXX7vhozBFnSIhy6M80PPZ9BHI55nYPLLD6beLrjsVu5C8~VIm7ZFDneMBxJBJBbLltNRLIzWzy4QUotby0nwxva6xEIhedrMFeio0GT5jgr05xGqHFJpYgHTwTrHWxD6mP2oppH08-c81rKUk6RquKiDsfw-wM-QdIFaEEqDh3XwnA__"
"000d5e9a-1b58-11e9-9ac1-005056921935","18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f20.mzid.gz","18CPTAC_CCRCC_Proteome_JHU_20180521","P-S044-1","CPTAC CCRCC Discovery Study - Proteome","PDC000127","1","dbe94609-1fb3-11e9-b7f8-0a80fada099c","CPTAC3 Discovery and Confirmatory","Peptide Spectral Matches","Open Standard","Open","6682565","eb2503790f48b81650d9f7a4b9848cd4","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/127/PSM/mzid/18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f20.mzid.gz?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9kM2l3dGt1dnd6NGp0Zi5jbG91ZGZyb250Lm5ldC9zdHVkaWVzLzEyNy9QU00vbXppZC8xOENQVEFDX0NDUkNDX1dfSkhVXzIwMTgwNTIxX0xVTU9TX2YyMC5temlkLmd6IiwiQ29uZGl0aW9uIjp7IkRhdGVMZXNzVGhhbiI6eyJBV1M6RXBvY2hUaW1lIjoxNzc0MTE4NzMwfX19XX0_&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Dt-TxfoNI~EJhUcnChOREHKEmVXma~usI~ievPuARPgXebnQImeQ4cTi1MLJGwmQ0nHot5sgdjY2EeNh3Yt5KL5Al8MDFLeEGMzb1OGtjmdTJpiyYruPWnLuwLBz8sm1Wx7yLuzkcZ3GNjmVXb4ml8nPxjlPq3EHtjf8wTUrWTrHK-lYpmNk131RhhTzVLH8~7Jr0Jp7NuacC4FWegd0jxBFWyWumlXfkkKOvOcqacEuU30oel~trbreJYVcNTNfZp~aqMTlybPezEHSSSq7Qw-Dt4xuRv97F~co0XFsj-UHdx63Og5RQlB8vmwHJiGfh4EKx6OlfxML7gSdnT5Big__"
"003ede4e-1b57-11e9-9ac1-005056921935","06CPTAC_CCRCC_W_JHU_20171120_LUMOS_f10.mzid.gz","06CPTAC_CCRCC_Proteome_JHU_20171120","P-S044-1","CPTAC CCRCC Discovery Study - Proteome","PDC000127","1","dbe94609-1fb3-11e9-b7f8-0a80fada099c","CPTAC3 Discovery and Confirmatory","Peptide Spectral Matches","Open Standard","Open","7217531","149afaca16d295eca6ccfe9c96db9534","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/127/PSM/mzid/06CPTAC_CCRCC_W_JHU_20171120_LUMOS_f10.mzid.gz?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9kM2l3dGt1dnd6NGp0Zi5jbG91ZGZyb250Lm5ldC9zdHVkaWVzLzEyNy9QU00vbXppZC8wNkNQVEFDX0NDUkNDX1dfSkhVXzIwMTcxMTIwX0xVTU9TX2YxMC5temlkLmd6IiwiQ29uZGl0aW9uIjp7IkRhdGVMZXNzVGhhbiI6eyJBV1M6RXBvY2hUaW1lIjoxNzc0MTE4NzMwfX19XX0_&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=USL8ofnTETitKmgD1cbm4Mtax0~BnJaGT45yMxQe5qIKqm1XQ5efTI6xOEu24U8T521fXUv~g3DsAijRVXA8OoCtGqOK-eaeqVnPXJxVKEjbSMC~RXwVYH14r-PtXPRR~3hAUr6Qq0OEWnu0vjTMVffQ55zDdvgYY4tMJejDaIkh83qYpfDw3EqumVg0nsMndXBIVkvqyKthrOTBPk57Ri31kQ3FQ8Qy7pMfM~ViJMMjyDn6bo4XLm4r4asQZmGXFzD042crS1d1LprpCUGZ4XFkI0BJyqsQL6bJQROO2lWlFdg0uM4Ublr-eUhSXNITIogXFDOwq65wNk~sBR5BRg__"
"006ca968-1b58-11e9-9ac1-005056921935","18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f21.mzid.gz","18CPTAC_CCRCC_Proteome_JHU_20180521","P-S044-1","CPTAC CCRCC Discovery Study - Proteome","PDC000127","1","dbe94609-1fb3-11e9-b7f8-0a80fada099c","CPTAC3 Discovery and Confirmatory","Peptide Spectral Matches","Open Standard","Open","6539915","1051580f79ccfb9ed55d3dec8cc53d81","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/127/PSM/mzid/18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f21.mzid.gz?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9kM2l3dGt1dnd6NGp0Zi5jbG91ZGZyb250Lm5ldC9zdHVkaWVzLzEyNy9QU00vbXppZC8xOENQVEFDX0NDUkNDX1dfSkhVXzIwMTgwNTIxX0xVTU9TX2YyMS5temlkLmd6IiwiQ29uZGl0aW9uIjp7IkRhdGVMZXNzVGhhbiI6eyJBV1M6RXBvY2hUaW1lIjoxNzc0MTE4NzMwfX19XX0_&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=URpkr7PRyAScZQJ~kNrQ9m~TrwU6Af8tffE9CMzD~QcgEpEm04T5-YCi1CZ1ybFkXZH3D9npWGQ3iRdcQkr5FRPjaTjNPTh3ua3z9XymhOVR4fJI2Yxx-9iQiiSuB~nA1clYoiSoY~zhIQoGoDGc0YjwmHzntXeChDZJwGjQhAo9RutHbqcWKo881-E6OcKIvBs-~Ft5hz1Cw8lqVaeHDlrESoKIxv7uXYSpRsZutmVy4THQO33yQTwE~rG9MIsgnrkqgtwA7qpBfFQKCB3XLgnnMZ2JNoXhIAqQP7JIzc1~-yaDhQI7rioxKayYwG0vyOQD1g1RluWoHgol43zWwA__"
"0075032a-1b57-11e9-9ac1-005056921935","06CPTAC_CCRCC_W_JHU_20171120_LUMOS_f11.mzid.gz","06CPTAC_CCRCC_Proteome_JHU_20171120","P-S044-1","CPTAC CCRCC Discovery Study - Proteome","PDC000127","1","dbe94609-1fb3-11e9-b7f8-0a80fada099c","CPTAC3 Discovery and Confirmatory","Peptide Spectral Matches","Open Standard","Open","6925592","e8c826452e5a11a1f42a17984be37d83","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/127/PSM/mzid/06CPTAC_CCRCC_W_JHU_20171120_LUMOS_f11.mzid.gz?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9kM2l3dGt1dnd6NGp0Zi5jbG91ZGZyb250Lm5ldC9zdHVkaWVzLzEyNy9QU00vbXppZC8wNkNQVEFDX0NDUkNDX1dfSkhVXzIwMTcxMTIwX0xVTU9TX2YxMS5temlkLmd6IiwiQ29uZGl0aW9uIjp7IkRhdGVMZXNzVGhhbiI6eyJBV1M6RXBvY2hUaW1lIjoxNzc0MTE4NzMwfX19XX0_&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=DH~JOUnNh4m2zbEshBU6zcp1cjyjtN5vZ5rhQpy9Pk7tX1DKAGIniwhYN5BFu0-rsIvAcUnW2~Vx9DK7nXbvJ-2c1p~s6AURWvGWYXcpccTdGdXcXtEElFll8Y5f2qUDx-rFaNMD-g~rpdIoOsxif-uf97dfVQM5Li7jkKHHWtYFeoztmsJtu0idrYXMGDDUybI6eRpKBSGymEoP7VidelrnBB2BxvUl3fqRE7J8XAjyTveri0ExW-sayZuydF40j76v3TLdqSIbV6BPouq9fa4IkXsCUeMARcoO802deb1uCwEGReJkkBWAzyymOsH0j1cQ6bEQw1cBAYrTtwpIZA__"
"00c5f546-1b57-11e9-9ac1-005056921935","06CPTAC_CCRCC_W_JHU_20171120_LUMOS_f12.mzid.gz","06CPTAC_CCRCC_Proteome_JHU_20171120","P-S044-1","CPTAC CCRCC Discovery Study - Proteome","PDC000127","1","dbe94609-1fb3-11e9-b7f8-0a80fada099c","CPTAC3 Discovery and Confirmatory","Peptide Spectral Matches","Open Standard","Open","6942700","0f7c7951eb5663e0bc459b992998b58b","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/127/PSM/mzid/06CPTAC_CCRCC_W_JHU_20171120_LUMOS_f12.mzid.gz?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9kM2l3dGt1dnd6NGp0Zi5jbG91ZGZyb250Lm5ldC9zdHVkaWVzLzEyNy9QU00vbXppZC8wNkNQVEFDX0NDUkNDX1dfSkhVXzIwMTcxMTIwX0xVTU9TX2YxMi5temlkLmd6IiwiQ29uZGl0aW9uIjp7IkRhdGVMZXNzVGhhbiI6eyJBV1M6RXBvY2hUaW1lIjoxNzc0MTE4NzMwfX19XX0_&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=NuLxCmv4yfxbaeNAjUHFMAGwSl2lZAISDI5tXNP5q~rGJoQnNUeJyvPJ7rjJBBuaIdASrdeUPZp5Ms1H-1nzMp98GJDsuFWVPR-Hxz94o3jc5FcVwrdd4SwQX4MoVsdIGiiELCKH22ewdy5CpqAyGM1DIlU9Foi4UsYvSyKETXqtH9ar4aub8jyWbeROlEp-NQ9WfgIMTyxlxuzqztPBOV~mEeYXBRRLouuNu6sBh9NbNacbGMC4aqwujB0CytHWrnBq9LyO~wBm2PeaGpUHveTD7hrUYAEgiBiinOUdywSzwvuL78VWjxxvqE3xqiUwxx6dQ6E66YVTdI7TENHDsQ__"
"00fac8a6-1b58-11e9-9ac1-005056921935","18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f22.mzid.gz","18CPTAC_CCRCC_Proteome_JHU_20180521","P-S044-1","CPTAC CCRCC Discovery Study - Proteome","PDC000127","1","dbe94609-1fb3-11e9-b7f8-0a80fada099c","CPTAC3 Discovery and Confirmatory","Peptide Spectral Matches","Open Standard","Open","6463407","2568e7b0263228e44ba2bb81871b850d","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/127/PSM/mzid/18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f22.mzid.gz?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9kM2l3dGt1dnd6NGp0Zi5jbG91ZGZyb250Lm5ldC9zdHVkaWVzLzEyNy9QU00vbXppZC8xOENQVEFDX0NDUkNDX1dfSkhVXzIwMTgwNTIxX0xVTU9TX2YyMi5temlkLmd6IiwiQ29uZGl0aW9uIjp7IkRhdGVMZXNzVGhhbiI6eyJBV1M6RXBvY2hUaW1lIjoxNzc0MTE4NzMwfX19XX0_&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=LZw0mdZlbCYZJ~jQb1RhFBeVKIbhYhh1oLHYa4zy-S3fxYDg1F6uSIO-pPNWZqvYMgdmyHrZ3X3v0sbZmmkM0s9C0dFpkkMrpgVQ4BgFZumlMqa4-TkolBJGK6-2ubyJQO8bNOHOW4fXrTW8ts06UqvEPAvaFxTc7vkAACI6j5Kf-LiSRmoJl3zUj-1Vf3P9f-J3U-hzqXRVTbmhnLKPCAPocgQYdDV3037~UuOY-22ZM6Ej8JFYVy-~NExF6MfnTdl3sPrtqRhECX9i6gDJi1IRqtGP6-GfikAEsgesXAEXkueUfhtKOpgSN14Q6ukkO31~rnSVEjzMU8w0zqrXrA__"
"0103da1e-1b57-11e9-9ac1-005056921935","06CPTAC_CCRCC_W_JHU_20171120_LUMOS_f13.mzid.gz","06CPTAC_CCRCC_Proteome_JHU_20171120","P-S044-1","CPTAC CCRCC Discovery Study - Proteome","PDC000127","1","dbe94609-1fb3-11e9-b7f8-0a80fada099c","CPTAC3 Discovery and Confirmatory","Peptide Spectral Matches","Open Standard","Open","7639523","9e03f4b01bfcb5751aec2b26f0c03461","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/127/PSM/mzid/06CPTAC_CCRCC_W_JHU_20171120_LUMOS_f13.mzid.gz?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9kM2l3dGt1dnd6NGp0Zi5jbG91ZGZyb250Lm5ldC9zdHVkaWVzLzEyNy9QU00vbXppZC8wNkNQVEFDX0NDUkNDX1dfSkhVXzIwMTcxMTIwX0xVTU9TX2YxMy5temlkLmd6IiwiQ29uZGl0aW9uIjp7IkRhdGVMZXNzVGhhbiI6eyJBV1M6RXBvY2hUaW1lIjoxNzc0MTE4NzMwfX19XX0_&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=WfM2lnAeeYk5E3d6lwW5T3HUDUa0CPfr5v4T0GM1L2XYUoWU2OA1guMlZTaiK2qTW0xTm1J0VCJEcO38tWjzeLAPOE9-LUtt7XiWGinQTcLiuRKv4fWb9B-GKK5P0IsQT-6Fk~EspyrRk6oKdITGYGzti1Tig-BG-Kw5m9j2-oBlL4JzDDKBonu5V7KR9h79TSMKO0DdaDn4~3ip7WyCH~YaUMO-wCbiuGdP0IggcTpliS6Hlaa6QN6KfUgMLCygpuPwunbgtUfE04jcV0GEewKoRkVDd-5z7epziTB1LThTyN2vB7G6a8BUneD-EnruS5PPXgrFkVbHJcgKQFNJKg__"
"0170f45e-1b58-11e9-9ac1-005056921935","18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f23.mzid.gz","18CPTAC_CCRCC_Proteome_JHU_20180521","P-S044-1","CPTAC CCRCC Discovery Study - Proteome","PDC000127","1","dbe94609-1fb3-11e9-b7f8-0a80fada099c","CPTAC3 Discovery and Confirmatory","Peptide Spectral Matches","Open Standard","Open","6650931","892b5234a7dadb980f4adbcabbaf821d","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/127/PSM/mzid/18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f23.mzid.gz?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9kM2l3dGt1dnd6NGp0Zi5jbG91ZGZyb250Lm5ldC9zdHVkaWVzLzEyNy9QU00vbXppZC8xOENQVEFDX0NDUkNDX1dfSkhVXzIwMTgwNTIxX0xVTU9TX2YyMy5temlkLmd6IiwiQ29uZGl0aW9uIjp7IkRhdGVMZXNzVGhhbiI6eyJBV1M6RXBvY2hUaW1lIjoxNzc0MTE4NzMwfX19XX0_&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=QOWlbOV09qemy-aI~ryeoNDfynFPSN3--kF504BVA596OTOBIYbZ05GHLzUycJjziHP3lxv~3zXbt57PwUaFfMjdJxyWfQ4bh6zBcmvilcTK9KlvQMnxG5alZsz8W1fiUCrUM-iwx29tBaDewi7B7pk1Wx470ZDze1SMVlFThXFnh9hDU1BGeL5p7SqeLWDMiYxcfbiLHgCY8mgnbUHBU-1kfpKdOpTJg~XzEOrO7tLVXg0h7KyKYzVUGDOYIa1wuxT4zke3Fi9qqRclUUcNnC5K2csBU~qOluuFi50cJ-UcoFZAK27gfN65Miiut3Ir3EQTSXEMClvzPVRwCspSeA__"
"01d59594-1b58-11e9-9ac1-005056921935","18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f24.mzid.gz","18CPTAC_CCRCC_Proteome_JHU_20180521","P-S044-1","CPTAC CCRCC Discovery Study - Proteome","PDC000127","1","dbe94609-1fb3-11e9-b7f8-0a80fada099c","CPTAC3 Discovery and Confirmatory","Peptide Spectral Matches","Open Standard","Open","5941108","ea4a5aeaecc5805531590ed629f8f675","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/127/PSM/mzid/18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f24.mzid.gz?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9kM2l3dGt1dnd6NGp0Zi5jbG91ZGZyb250Lm5ldC9zdHVkaWVzLzEyNy9QU00vbXppZC8xOENQVEFDX0NDUkNDX1dfSkhVXzIwMTgwNTIxX0xVTU9TX2YyNC5temlkLmd6IiwiQ29uZGl0aW9uIjp7IkRhdGVMZXNzVGhhbiI6eyJBV1M6RXBvY2hUaW1lIjoxNzc0MTE4NzMwfX19XX0_&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=MZB5qBXwPGgnJii2ict-JJOWsZffglnLB3l9zOKRnJrqJ1vXbuTDZJMnfLiPeu8hc0ZmOTUi4Ey2zE~K-Iol2lfoT1XauClFaz59Gd1HUKHlWmm-ZDeHLFLxPwAWRevoohwUduYxrKxJqM9gxyGgRMhJ~fQ41PEBl9Q7VXo6kasg4Ogt9AhtYGOYZ9DrLQpJNLewK0E8YeB7Laa51ItdfHzA0R8SdwmC-Tno53xBsg47ewCsbwwNlgK7mZPoZoJwqNXjaQ4XZiFigSmCVIXKy5kwB7UbYvXZ8yUvbwKeXHoOzhZahpu8wtwO4RAG-ef8nUyY8WmImWMOul5QH1QpCg__"
