gene,included,exclusion_reason
A2M,True,
AAAS,True,
AACS,True,
AAGAB,True,
AAK1,True,
AAMDC,True,
AAMP,True,
AAR2,True,
AARS1,True,
AARS2,True,
AARSD1,True,
AASDHPPT,True,
AASS,True,
AATF,True,
ABAT,True,
ABCB10,True,
ABCB6,True,
ABCB7,True,
ABCB8,True,
ABCC1,True,
ABCC4,True,
ABCC5,True,
ABCD1,True,
ABCD3,True,
ABCE1,True,
ABCF1,True,
ABCF3,True,
ABHD10,True,
ABHD11,True,
ABHD12,True,
ABHD14B,True,
ABHD16A,True,
ABHD17A,True,
ABHD17B,True,
ABHD5,True,
ABHD6,True,
ABI1,True,
ABI2,True,
ABITRAM,True,
ABL1,True,
ABL2,True,
ABLIM2,True,
ABLIM3,True,
ABR,True,
ABRACL,True,
ABRAXAS1,True,
ABRAXAS2,True,
ABT1,True,
ACAA1,True,
ACAA2,True,
ACACA,True,
ACACB,True,
ACAD10,True,
ACAD11,True,
ACAD8,True,
ACAD9,True,
ACADM,True,
ACADS,True,
ACADSB,True,
ACADVL,True,
ACAP2,True,
ACAT1,True,
ACAT2,True,
ACBD3,True,
ACBD5,True,
ACBD6,True,
ACBD7,True,
ACD,True,
ACIN1,True,
ACLY,True,
ACO1,True,
ACO2,True,
ACOT11,True,
ACOT13,True,
ACOT2,True,
ACOT7,True,
ACOT8,True,
ACOT9,True,
ACOX1,True,
ACOX3,True,
ACP1,True,
ACP2,True,
ACP6,True,
ACSF2,True,
ACSF3,True,
ACSL1,True,
ACSL3,True,
ACSL4,True,
ACSL5,True,
ACSL6,True,
ACSS1,True,
ACSS2,True,
ACSS3,True,
ACTA2,True,
ACTB,True,
ACTBL2,True,
ACTL6A,True,
ACTL8,True,
ACTN1,True,
ACTN4,True,
ACTR10,True,
ACTR1A,True,
ACTR1B,True,
ACTR2,True,
ACTR3,True,
ACTR3B,True,
ACTR5,True,
ACTR6,True,
ACTR8,True,
ACVR1,True,
ACYP1,True,
ACYP2,True,
ADA,True,
ADAM10,True,
ADAM15,True,
ADAM17,True,
ADAM9,True,
ADAP1,True,
ADAR,True,
ADARB1,True,
ADAT2,True,
ADAT3,True,
ADCY5,True,
ADD1,True,
ADD2,True,
ADD3,True,
ADGRE5,True,
ADGRG1,True,
ADGRG6,True,
ADGRL2,True,
ADH5,True,
ADI1,True,
ADIRF,True,
ADISSP,True,
ADK,True,
ADNP,True,
ADNP2,True,
ADO,True,
ADPGK,True,
ADPRS,True,
ADRM1,True,
ADSL,True,
ADSS1,True,
ADSS2,True,
AFAP1,True,
AFAP1L2,True,
AFDN,True,
AFF1,True,
AFF3,True,
AFF4,True,
AFG1L,True,
AFG2A,True,
AFG2B,True,
AFG3L2,True,
AFTPH,True,
AGA,True,
AGAP1,True,
AGAP3,True,
AGFG1,True,
AGFG2,True,
AGGF1,True,
AGK,True,
AGL,True,
AGO1,True,
AGO2,True,
AGO3,True,
AGO4,True,
AGPAT1,True,
AGPAT2,True,
AGPAT3,True,
AGPAT5,True,
AGPS,True,
AGR2,True,
AGRN,True,
AGTPBP1,True,
AGTRAP,True,
AHCTF1,True,
AHCY,True,
AHCYL1,True,
AHCYL2,True,
AHDC1,True,
AHNAK,True,
AHNAK2,True,
AHR,True,
AHSA1,True,
AIDA,True,
AIF1L,True,
AIFM1,True,
AIFM2,True,
AIMP1,True,
AIMP2,True,
AIP,True,
AIRIM,True,
AJUBA,True,
AK1,True,
AK2,True,
AK3,True,
AK4,True,
AK5,True,
AK6,True,
AKAP1,True,
AKAP10,True,
AKAP11,True,
AKAP12,True,
AKAP13,True,
AKAP17A,True,
AKAP8,True,
AKAP8L,True,
AKAP9,True,
AKR1A1,True,
AKR1B1,True,
AKR1B10,True,
AKR1B15,True,
AKR1C1,True,
AKR1C3,True,
AKR1D1,True,
AKR7A2,True,
AKT1,True,
AKT1S1,True,
AKT2,True,
