study_id,path,file_name,format,reference_channel,n_channels,delimiter,use_for_msstats_tmt,annotation_path,notes
PDC000109,PDC000109/CPTAC2_Prospective_Colon_VU_Proteome.sample.txt,CPTAC2_Prospective_Colon_VU_Proteome.sample.txt,LabelFree,,0,tab,False,,
PDC000110,PDC000110/CPTAC2_Ovarian_Prospective_Collection_JHU_Proteome.sample.txt,CPTAC2_Ovarian_Prospective_Collection_JHU_Proteome.sample.txt,TMT10,131,10,tab,True,results/annotation_template.csv,
PDC000113,PDC000113/TCGA_Ovarian_JHU_Proteome.sample.txt,TCGA_Ovarian_JHU_Proteome.sample.txt,iTRAQ4,117,4,tab,False,,
PDC000114,PDC000114/TCGA_Ovarian_PNNL_Proteome.sample.txt,TCGA_Ovarian_PNNL_Proteome.sample.txt,iTRAQ4,117,4,tab,False,,
PDC000116,PDC000116/CPTAC2_Colon_Prospective_Collection_PNNL_Proteome.sample.txt,CPTAC2_Colon_Prospective_Collection_PNNL_Proteome.sample.txt,TMT10,131,10,tab,True,results/annotation_template.csv,
PDC000118,PDC000118/CPTAC2_Ovarian_Prospective_Collection_PNNL_Proteome.sample.txt,CPTAC2_Ovarian_Prospective_Collection_PNNL_Proteome.sample.txt,TMT10,131,10,tab,True,results/annotation_template.csv,
PDC000120,PDC000120/CPTAC2_Breast_Prospective_Collection_BI_Proteome.sample.txt,CPTAC2_Breast_Prospective_Collection_BI_Proteome.sample.txt,TMT10,131,10,tab,True,results/annotation_template.csv,
PDC000124,PDC000124/CPTAC3_Uterine_Corpus_Endometrial_Carcinoma_CompRef_Proteome.sample.txt,CPTAC3_Uterine_Corpus_Endometrial_Carcinoma_CompRef_Proteome.sample.txt,TMT10,131,10,tab,True,results/annotation_template.csv,
PDC000125,PDC000125/CPTAC3_Uterine_Corpus_Endometrial_Carcinoma_Proteome.sample.txt,CPTAC3_Uterine_Corpus_Endometrial_Carcinoma_Proteome.sample.txt,TMT10,131,10,tab,True,results/annotation_template.csv,
PDC000127,cptac_samples/PDC000127/CPTAC3_Clear_Cell_Renal_Cell_Carcinoma_Proteome.sample.txt,CPTAC3_Clear_Cell_Renal_Cell_Carcinoma_Proteome.sample.txt,TMT10,131,10,tab,True,results/annotation_template.csv,Place sample.txt in repo; see cptac_samples/PDC000127/README.md
PDC000129,PDC000129/CPTAC3_Clear_Cell_Renal_Cell_Carcinoma_CompRef_Proteome.sample.txt,CPTAC3_Clear_Cell_Renal_Cell_Carcinoma_CompRef_Proteome.sample.txt,TMT10,131,10,tab,True,results/annotation_template.csv,
PDC000153,PDC000153/CPTAC3_Lung_Adeno_Carcinoma_Proteome.sample.txt,CPTAC3_Lung_Adeno_Carcinoma_Proteome.sample.txt,TMT10,131,10,tab,True,results/annotation_template.csv,
PDC000154,PDC000154/CPTAC3_Lung_Adeno_Carcinoma_CompRef_Proteome.sample.txt,CPTAC3_Lung_Adeno_Carcinoma_CompRef_Proteome.sample.txt,TMT10,131,10,tab,True,results/annotation_template.csv,
PDC000173,PDC000173/TCGA_Breast_BI_Proteome.sample.txt,TCGA_Breast_BI_Proteome.sample.txt,iTRAQ4,117,4,tab,False,,
PDC000203,PDC000203/CPTAC3_Glioblastoma_Multiforme_CompRef_Proteome.sample.txt,CPTAC3_Glioblastoma_Multiforme_CompRef_Proteome.sample.txt,TMT11,126C,11,tab,True,results/annotation_template.csv,
PDC000204,PDC000204/CPTAC3_Glioblastoma_Multiforme_Proteome.sample.txt,CPTAC3_Glioblastoma_Multiforme_Proteome.sample.txt,TMT11,126C,11,tab,True,results/annotation_template.csv,
PDC000221,PDC000221/CPTAC3_Head_and_Neck_Carcinoma_Proteome.sample.txt,CPTAC3_Head_and_Neck_Carcinoma_Proteome.sample.txt,TMT11,126C,11,tab,True,results/annotation_template.csv,
PDC000234,PDC000234/CPTAC3_Lung_Squamous_Cell_Carcinoma_Proteome.sample.txt,CPTAC3_Lung_Squamous_Cell_Carcinoma_Proteome.sample.txt,TMT11,126C,11,tab,True,results/annotation_template.csv,
PDC000242,PDC000242/CPTAC2_Breast_Prospective_Collection_BI_CompRef_Proteome.sample.txt,CPTAC2_Breast_Prospective_Collection_BI_CompRef_Proteome.sample.txt,TMT10,131,10,tab,True,results/annotation_template.csv,
PDC000270,PDC000270/CPTAC3_Pancreatic_Ductal_Adenocarcinoma_Proteome.sample.txt,CPTAC3_Pancreatic_Ductal_Adenocarcinoma_Proteome.sample.txt,TMT11,126C,11,tab,True,results/annotation_template.csv,
PDC000295,PDC000295/NCI7_Proteomic_Coverage_JHU_Proteome.sample.txt,NCI7_Proteomic_Coverage_JHU_Proteome.sample.txt,TMT10,131,10,tab,True,results/annotation_template.csv,
PDC000296,PDC000296/NCI7_Experimental_JHU_Proteome.sample.txt,NCI7_Experimental_JHU_Proteome.sample.txt,TMT10,131,10,tab,True,results/annotation_template.csv,
PDC000309,PDC000309/CPTAC3_Harmonization_PhaseII_Proteome.sample.txt,CPTAC3_Harmonization_PhaseII_Proteome.sample.txt,TMT10,131,10,tab,True,results/annotation_template.csv,
PDC000310,PDC000310/CPTAC3_Harmonization_PhaseII_Proteome.sample.txt,CPTAC3_Harmonization_PhaseII_Proteome.sample.txt,TMT10,131,10,tab,True,results/annotation_template.csv,
PDC000311,PDC000311/CPTAC3_Harmonization_PhaseII_Proteome.sample.txt,CPTAC3_Harmonization_PhaseII_Proteome.sample.txt,TMT10,131,10,tab,True,results/annotation_template.csv,
PDC000315,PDC000315/PTRC_PNNL_Gilteritinib_Resistance_Proteome.sample.txt,PTRC_PNNL_Gilteritinib_Resistance_Proteome.sample.txt,TMT11,126C,11,tab,True,results/annotation_template.csv,
PDC000316,PDC000316/PTRC_PNNL_Gilteritinib_TimeCourse_Proteome.sample.txt,PTRC_PNNL_Gilteritinib_TimeCourse_Proteome.sample.txt,TMT11,126C,11,tab,True,results/annotation_template.csv,
PDC000317,PDC000317/PTRC_PNNL_Quizartinib_Resistance_Proteome.sample.txt,PTRC_PNNL_Quizartinib_Resistance_Proteome.sample.txt,TMT11,126C,11,tab,True,results/annotation_template.csv,
PDC000325,PDC000325/CPTAC3_Microscale_Proteogenomics_DP1_Proteome.sample.txt,CPTAC3_Microscale_Proteogenomics_DP1_Proteome.sample.txt,TMT11,126C,11,tab,True,results/annotation_template.csv,
PDC000327,PDC000327/CPTAC3_Microscale_Proteogenomics_PDX_Bulk_Proteome.sample.txt,CPTAC3_Microscale_Proteogenomics_PDX_Bulk_Proteome.sample.txt,TMT10,131,10,tab,True,results/annotation_template.csv,
PDC000329,PDC000329/CPTAC3_Microscale_Proteogenomics_PDX_Cores_Proteome.sample.txt,CPTAC3_Microscale_Proteogenomics_PDX_Cores_Proteome.sample.txt,TMT10,131,10,tab,True,results/annotation_template.csv,
PDC000358,PDC000358/CPTAC3_PTRC_FHCRC_HGSOC_FFPE_Validation_Proteome.sample.txt,CPTAC3_PTRC_FHCRC_HGSOC_FFPE_Validation_Proteome.sample.txt,TMT11,126C,11,tab,True,results/annotation_template.csv,
PDC000360,PDC000360/CPTAC3_PTRC_FHCRC_HGSOC_FFPE_Discovery_Proteome.sample.txt,CPTAC3_PTRC_FHCRC_HGSOC_FFPE_Discovery_Proteome.sample.txt,TMT11,126C,11,tab,True,results/annotation_template.csv,
PDC000362,PDC000362/CPTAC3_PTRC_FHCRC_HGSOC_Frozen_Validation_Proteome.sample.txt,CPTAC3_PTRC_FHCRC_HGSOC_Frozen_Validation_Proteome.sample.txt,TMT11,126C,11,tab,True,results/annotation_template.csv,
PDC000393,PDC000393/CPTAC3_PDAC_Enrichment_JHU_Proteome.sample.txt,CPTAC3_PDAC_Enrichment_JHU_Proteome.sample.txt,TMT10,131,10,tab,True,results/annotation_template.csv,
PDC000400,PDC000400/CPTAC3_PTRC_PNNL_AML_DrugResponse_Sorafenib_Proteome.sample.txt,CPTAC3_PTRC_PNNL_AML_DrugResponse_Sorafenib_Proteome.sample.txt,TMT10,131,10,tab,True,results/annotation_template.csv,
PDC000402,PDC000402/CPTAC3_PTRC_PNNL_AML_DrugResponse_Combination_Proteome.sample.txt,CPTAC3_PTRC_PNNL_AML_DrugResponse_Combination_Proteome.sample.txt,TMT11,126C,11,tab,True,results/annotation_template.csv,
PDC000408,PDC000408/CPTAC3_PTRC_TNBC_Proteome.sample.txt,CPTAC3_PTRC_TNBC_Proteome.sample.txt,TMT11,126C,11,tab,True,results/annotation_template.csv,
PDC000410,PDC000410/CPTAC3_PTRC_TNBC_PDX_Proteome.sample.txt,CPTAC3_PTRC_TNBC_PDX_Proteome.sample.txt,TMT11,126C,11,tab,True,results/annotation_template.csv,
PDC000439,PDC000439/CPTAC3_UCEC_Confirmatory_Proteome.sample.txt,CPTAC3_UCEC_Confirmatory_Proteome.sample.txt,TMT11,126C,11,tab,True,results/annotation_template.csv,
PDC000440,PDC000440/CPTAC3_UCEC_Confirmatory_CompRef_Proteome.sample.txt,CPTAC3_UCEC_Confirmatory_CompRef_Proteome.sample.txt,TMT11,126C,11,tab,True,results/annotation_template.csv,
PDC000446,PDC000446/CPTAC3_Glioblastoma_Multiforme_Confirmatory_Proteome.sample.txt,CPTAC3_Glioblastoma_Multiforme_Confirmatory_Proteome.sample.txt,TMT11,126C,11,tab,True,results/annotation_template.csv,
PDC000447,PDC000447/CPTAC3_Glioblastoma_Multiforme_Confirmatory_CompRef_Proteome.sample.txt,CPTAC3_Glioblastoma_Multiforme_Confirmatory_CompRef_Proteome.sample.txt,TMT11,126C,11,tab,True,results/annotation_template.csv,
PDC000464,PDC000464/CPTAC3_non-ccRCC_JHU_Proteome.sample.txt,CPTAC3_non-ccRCC_JHU_Proteome.sample.txt,TMT11,126C,11,tab,True,results/annotation_template.csv,
PDC000477,PDC000477/CPTAC3_PTRC_PNNL_BEAT_AML_Proteome.sample.txt,CPTAC3_PTRC_PNNL_BEAT_AML_Proteome.sample.txt,TMT11,126C,11,tab,True,results/annotation_template.csv,
PDC000489,PDC000489/CPTAC3_LUAD_Confirmatory_Proteome.sample.txt,CPTAC3_LUAD_Confirmatory_Proteome.sample.txt,TMT11,126C,11,tab,True,results/annotation_template.csv,
